Trial name,status,loc,hidden_dim,lr,momentum,out_dim,weight_decay,loss,training_iteration
train_6636c_00182,TERMINATED,192.168.7.50:9781,512,0.0001,0.9,256,1e-05,-0.7345,4
train_6636c_00084,TERMINATED,192.168.7.50:70390,128,0.0001,0.9,128,0.0001,-0.7293,4
train_6636c_00156,TERMINATED,192.168.7.50:134651,128,0.0001,0.9,128,1e-05,-0.715,4
train_6636c_00181,TERMINATED,192.168.7.50:9135,256,0.0001,0.9,256,1e-05,-0.7124,4
train_6636c_00012,TERMINATED,192.168.7.50:4197,128,0.0001,0.9,128,0.0,-0.709,4
train_6636c_00037,TERMINATED,192.168.7.50:28962,256,0.0001,0.9,256,0.0,-0.704,4
train_6636c_00038,TERMINATED,192.168.7.50:31251,512,0.0001,0.9,256,0.0,-0.6858,4
train_6636c_00062,TERMINATED,192.168.7.50:52589,512,0.0001,0.9,512,0.0,-0.677,4
train_6636c_00134,TERMINATED,192.168.7.50:115726,512,0.0001,0.9,512,0.0001,-0.6654,4
train_6636c_00206,TERMINATED,192.168.7.50:35425,512,0.0001,0.9,512,1e-05,-0.6649,4
train_6636c_00109,TERMINATED,192.168.7.50:92761,256,0.0001,0.9,256,0.0001,-0.6589,4
train_6636c_00205,TERMINATED,192.168.7.50:33692,256,0.0001,0.9,512,1e-05,-0.6083,4
train_6636c_00133,TERMINATED,192.168.7.50:114160,256,0.0001,0.9,512,0.0001,-0.5574,4
train_6636c_00180,TERMINATED,192.168.7.50:7859,128,0.0001,0.9,256,1e-05,-0.5572,4
train_6636c_00108,TERMINATED,192.168.7.50:92758,128,0.0001,0.9,256,0.0001,-0.5403,4
train_6636c_00061,TERMINATED,192.168.7.50:51251,256,0.0001,0.9,512,0.0,-0.5243,4
train_6636c_00060,TERMINATED,192.168.7.50:50944,128,0.0001,0.9,512,0.0,-0.4422,4
train_6636c_00036,TERMINATED,192.168.7.50:28905,128,0.0001,0.9,256,0.0,-0.4077,4
train_6636c_00204,TERMINATED,192.168.7.50:33065,128,0.0001,0.9,512,1e-05,-0.3821,4
train_6636c_00132,TERMINATED,192.168.7.50:113907,128,0.0001,0.9,512,0.0001,-0.342,4
